Institution,Product,Contact,Email Sent,Email Date,Tweet Posted,Tweet Date,Reply,Follow-up 1,Follow-up 2,Notes
BlackRock,BUIDL,Digital Assets Team,No,,No,,,No,No,
Franklin Templeton,FOBXX,Blockchain Team,No,,No,,,No,No,
Goldman Sachs,GS DAP,Digital Assets Group,No,,No,,,No,No,
J.P. Morgan,Onyx,Onyx Team,No,,No,,,No,No,
HSBC,Orion,Orion Platform Team,No,,No,,,No,No,
Citi,Digital Assets,Digital Assets Team,No,,No,,,No,No,
BNY Mellon,Digital Custody,Digital Assets Team,No,,No,,,No,No,
Fidelity,Digital Assets,Digital Assets Team,No,,No,,,No,No,
Siemens,Corporate Treasury,Treasury Team,No,,No,,,No,No,
World Bank,bond-i,Treasury Team,No,,No,,,No,No,
